ajoneuvoluokka;ensirekisterointipvm;ajoneuvoryhma;ajoneuvonkaytto;variantti;versio;kayttoonottopvm;vari;ovienLukumaara;korityyppi;ohjaamotyyppi;istumapaikkojenLkm;omamassa;teknSuurSallKokmassa;tieliikSuurSallKokmassa;ajonKokPituus;ajonLeveys;ajonKorkeus;kayttovoima;iskutilavuus;suurinNettoteho;sylintereidenLkm;ahdin;sahkohybridi;merkkiSelvakielinen;mallimerkinta;vaihteisto;vaihteidenLkm;kaupallinenNimi;voimanvalJaTehostamistapa;tyyppihyvaksyntanro;yksittaisKayttovoima;kunta;Co2;matkamittarilukema;alue;valmistenumero2;jarnro
M1;2010-01-04;;01;SH5;577;20100104;2;4;AB;;5;1105;1503;;3920;1680;1505;01;1206;62;4;false;;Chevrolet;AVEO Viistoperä (AB) 4ov 1206cm3;1;5;AVEO;05;e4*01/116*0063*21;01;684;132;20325;261;KL1SF48DJ8;3189069
M1;2010-01-29;;01;4C9HX*;4C9HXC/1;20100129;6;4;AB;;5;1378;1804;;4276;1821;1519;02;1560;66;4;true;;Peugeot;308 Viistoperä (AB) 4ov 1560cm3;1;5;308;05;e2*01/116*0362*04;02;444;120;144831;088;VF34C9HXC5;3190673
M1;2010-07-30;;01;4C5FT*;4C5FTF;20080531;6;4;AB;;5;1430;1855;1855;4276;1821;1430;01;1598;103;4;true;false;Peugeot;308 Viistoperä (AB) 4ov 1598cm3 A;2;4;308;05;e2*01/116*0362*03;01;049;188;62064;026;VF34C5FTF5;3190780
M1;2010-01-25;;01;1;4;20090812;6;4;AA;;5;1269;1675;1675;4545;1750;1435;01;1799;103;4;false;false;Honda;CIVIC 4DR Sedan (AA) 4ov 1799cm3;1;6;CIVIC 4DR;05;e11*01/116*0294*01;01;905;156;27753;652;NLAFD75508;3191468
M1;2010-04-24;;01;1;4;20090901;6;4;AA;;5;1269;1675;;4545;1750;1435;01;1799;103;4;;;Honda;CIVIC 4DR Sedan (AA) 4ov 1799cm3;1;6;CIVIC 4DR;05;e11*01/116*0294*01;01;495;156;198057;426;NLAFD75508;3191469
M1;2010-04-15;;05;1;4;20100223;6;4;AA;;5;1269;;1675;4545;1750;1435;01;1799;103;4;false;false;Honda;CIVIC 4DR Sedan (AA) 4ov 1799cm3;1;6;CIVIC 4DR;05;e11*01/116*0294*01;01;091;156;64334;007;NLAFD75508;3191472
M1;2010-01-07;;01;F5D11;M54AZ1;20100107;Y;4;AF;;5;1409;1920;;4475;1775;1565;02;1582;66;4;true;;Hyundai;i 30 CW Monikäyttöajoneuvo (AF) 4ov 1582cm3;1;5;i 30 CW;05;e11*01/116*0313*05;02;837;128;195909;342;KMHDB81TP8;3191724
M1;2010-03-30;;01;AXF1B;05;20090601;8;5;AF;1;5;1350;1785;1785;4340;1790;1500;01;1360;110;4;true;false;Fiat;BRAVO Monikäyttöajoneuvo (AF) 1360cm3;;;BRAVO;05;e3*01/116*0248*02;01;091;167;91138;003;ZFA1980000;3191775
M1G;2010-01-21;;01;W441;54765;20090617;0;5;AF;1;5;2079;2670;2670;4590;1885;1725;02;2497;125;4;true;false;Kia;SORENTO Monikäyttöajoneuvo (AF) 4ov 2497cm3 A;2;5;SORENTO;05;e9*98/14*0045*15;02;491;228;171258;516;KNEJC52488;3191822
M1;2010-03-01;;01;BPD;0S0;20100301;8;4;AC;;5;1585;2000;;4720;1730;1470;02;1998;110;4;true;;Subaru;LEGACY Farmari (AC) 4ov 1998cm3;1;5;LEGACY;12;e1*01/116*0228*08;02;626;151;188720;868;JF1BPDLY38;3193220
M1;2010-01-14;;01;WE9HX*;WE9HXC;20100114;0;4;AC;;5;1339;1741;;4156;1748;1555;02;1560;66;4;true;;Peugeot;207 Farmari (AC) 4ov 1560cm3;1;5;207;05;e2*01/116*0340*10;02;710;119;82378;103;VF3WE9HXC3;3194010
M1;2010-01-29;;01;WE9HX*;WE9HXC;20100129;0;4;AC;;5;1339;1741;;4156;1748;1555;02;1560;66;4;true;;Peugeot;207 Farmari (AC) 4ov 1560cm3;1;5;207;05;e2*01/116*0340*10;02;543;119;128249;019;VF3WE9HXC3;3194011
M1;2010-06-07;;01;B5P51;M53AZ1;20100607;Y;4;AF;;5;1327;1780;;4245;1775;1480;01;1975;105;4;false;;Hyundai;i 30 Monikäyttöajoneuvo (AF) 4ov 1975cm3;1;5;i 30;05;e11*01/116*0313*06;01;837;170;63282;332;KMHDC51EP8;3195066
M1;2010-03-02;;01;LV3;134;20100302;Y;4;AA;;5;1635;2045;;4815;1810;1450;02;1991;110;4;true;;Chevrolet;EPICA Sedan (AA) 4ov 1991cm3;1;5;EPICA;05;e4*01/116*0068*14;02;927;169;125617;033;KL1LF69RJ8;3195929
M1;2010-04-27;;01;AFBKDX01;SGNFM62Q0040GG;20100427;8;4;AF;;5;1390;1885;;4315;1768;1459;02;1968;103;4;true;;Seat;LEON Monikäyttöajoneuvo (AF) 4ov 1968cm3;1;6;LEON;05;e9*01/116*0052*14;02;837;147;130640;334;VSSZZZ1PZ8;3196466
M1;2010-01-22;;01;1;1;20090401;0;3;AB;1;4;1338;1700;1700;4270;1790;1450;01;1990;148;4;false;false;Honda;CIVIC Viistoperä (AB) 1990cm3;1;6;CIVIC;05;e11*01/116*0306*00;01;078;215;97953;109;SHHFN23608;3197239
M1G;2010-02-23;;01;W431;54765;20090617;0;4;AF;;5;2079;2670;2670;4590;1885;1805;02;2497;125;4;true;false;Kia;SORENTO Monikäyttöajoneuvo (AF) 4ov 2497cm3 A;2;5;SORENTO;05;e9*98/14*0045*15;02;562;228;226881;353;KNEJC52488;3197849
M1G;2010-01-25;;01;W431;54765;20100125;0;4;AF;;5;2079;2670;;4590;1885;1805;02;2497;125;4;true;;Kia;SORENTO Monikäyttöajoneuvo (AF) 4ov 2497cm3 A;2;5;SORENTO;05;e9*98/14*0045*15;02;980;228;121270;392;KNEJC52488;3197850
M1G;2010-04-22;;01;W431;54765;20090612;0;4;AF;;5;2079;2670;2670;4590;1885;1805;02;2497;125;4;true;false;Kia;SORENTO Monikäyttöajoneuvo (AF) 4ov 2497cm3 A;2;5;SORENTO;05;e9*98/14*0045*15;02;604;228;206518;339;KNEJC52488;3197851
M1G;2010-01-18;;01;W431;54765;20090617;0;4;AF;;5;2079;2670;2670;4590;1885;1805;02;2497;125;4;true;false;Kia;SORENTO Monikäyttöajoneuvo (AF) 4ov 2497cm3 A;2;5;SORENTO;05;e9*98/14*0045*15;02;109;228;205906;145;KNEJC52488;3197853
M1G;2010-01-04;;01;W431;54765;20090617;Y;4;AF;1;5;2079;2670;2670;4590;1885;1805;02;2497;125;4;true;false;Kia;SORENTO Monikäyttöajoneuvo (AF) 4ov 2497cm3 A;2;5;SORENTO;05;e9*98/14*0045*15;02;422;228;134196;817;KNEJC52488;3197855
M1G;2010-01-05;;01;W441;54765;20090617;0;4;AF;;5;2079;2670;;4590;1885;1805;02;2497;125;4;true;;Kia;SORENTO Monikäyttöajoneuvo (AF) 4ov 2497cm3 A;2;5;SORENTO;05;e9*98/14*0045*15;02;398;228;195917;151;KNEJC52488;3197857
M1G;2010-01-21;;01;W441;54765;20090617;Y;4;AF;;5;2079;2670;2670;4590;1865;1725;02;2497;125;4;true;false;Kia;SORENTO Monikäyttöajoneuvo (AF) 4ov 2497cm3 A;2;5;SORENTO;05;e9*98/14*0045*15;02;980;228;213352;334;KNEJC52488;3197861
M1;2010-02-26;;01;4C9HZ*;4C9HZH/1;20090618;6;4;AB;;5;1412;1860;;4276;1821;1519;02;1560;80;4;true;;Peugeot;308 Viistoperä (AB) 4ov 1560cm3;1;6;308;05;e2*01/116*0362*05;02;205;129;121682;872;VF34C9HZH5;3198827
M1;2010-01-07;;01;ACCAWAX1;AA6AA69M020ND0GG;20100107;0;4;AC;;5;1667;2220;;4520;1809;1706;01;1984;125;4;true;;Volkswagen;TIGUAN Farmari (AC) 4ov 1984cm3 A;2;6;TIGUAN;05;e1*01/116*0450*03;01;049;234;190565;022;WVGZZZ5NZ8;3199853
M1;2010-01-12;;01;ACCAWAX1;AA6AA69M020ND0GG;20100112;0;4;AC;;5;1667;2220;;4520;1809;1706;01;1984;125;4;true;;Volkswagen;TIGUAN Farmari (AC) 4ov 1984cm3 A;2;6;TIGUAN;05;e1*01/116*0450*03;01;740;234;127462;582;WVGZZZ5NZ8;3199857
M1;2010-01-28;;01;FN11;1A05A0JHGG5;20100128;Y;4;AF;;5;1380;1920;;4515;1753;1500;02;1248;66;4;true;;Opel;ASTRA STATION WAGON Monikäyttöajoneuvo (AF) 4ov 1248cm3;1;6;ASTRA STATION WAGON;05;e1*01/116*0293*09;02;232;130;270464;618;W0L0AHL358;3201242
M1;2010-01-29;;01;F;F02;20100129;0;4;AF;;5;1679;2085;;4315;1783;1623;02;1995;110;4;true;;Nissan;QASHQAI Monikäyttöajoneuvo (AF) 4ov 1995cm3 A;2;6;QASHQAI;05;e11*01/116*0295*06;02;111;208;104996;181;SJNFDNJ10U;3201465
M1;2010-01-25;;01;ACCAWAX1;AM6AM6A6003ND0GG;20100125;0;4;AC;;5;1646;2200;;4520;1809;1706;01;1984;125;4;true;;Volkswagen;TIGUAN Farmari (AC) 4ov 1984cm3;1;6;TIGUAN;05;e1*01/116*0450*03;01;301;213;105236;616;WVGZZZ5NZ8;3201533
M1;2010-01-11;;01;AXB1A;01;20100111;1;;AA;;5;1260;1685;1685;4560;1730;1490;02;1240;66;4;true;;Fiat;LINEA Sedan (AA) 1240cm3;;;LINEA;05;e3*01/116*0260*00;02;580;129;157761;592;ZFA3230000;3201558
M1;2010-01-20;;01;AXB1A;01;20100120;1;;AA;;5;1260;1685;1685;4560;1730;1490;02;1240;66;4;true;;Fiat;LINEA Sedan (AA) 1240cm3;;;LINEA;05;e3*01/116*0260*00;02;139;129;139942;911;ZFA3230000;3201562
M1;2010-09-17;;01;F7D11;M52AZ1;20090603;8;4;AF;;7;2168;2900;2900;4810;1985;1815;02;2902;136;4;true;false;Kia;CARNIVAL Monikäyttöajoneuvo (AF) 4ov 2902cm3;1;5;CARNIVAL;05;e4*01/116*0112*01;02;853;199;232534;203;KNEMB75428;3202693
