ï»¿VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2017-03-03 12:25:21,2017-03-03 12:32:55,1,1.30,1,N,239,142,1,7.5,0,0.5,1.65,0,0.3,9.95
1,2017-03-03 12:58:30,2017-03-03 13:03:10,1,.80,1,N,4,79,1,5,0,0.5,0,0,0.3,5.8
1,2017-03-03 13:31:46,2017-03-03 13:48:15,1,1.70,1,N,237,164,1,11.5,0,0.5,2.45,0,0.3,14.75
2,2017-03-03 14:02:42,2017-03-03 14:29:51,5,5.13,1,N,144,181,2,20.5,0,0.5,0,0,0.3,21.3
1,2017-03-03 14:32:22,2017-03-03 14:38:46,1,1.10,1,N,237,236,1,6.5,0,0.5,1,0,0.3,8.3
2,2017-03-03 15:00:45,2017-03-03 15:08:16,1,2.10,1,N,238,50,2,9,0,0.5,0,0,0.3,9.8
1,2017-03-03 15:29:56,2017-03-03 15:52:17,2,3.00,1,N,79,163,2,15.5,0,0.5,0,0,0.3,16.3
1,2017-03-03 16:01:48,2017-03-03 16:21:22,1,2.60,1,N,50,246,1,14,0,0.5,2.95,0,0.3,17.75
1,2017-03-03 16:35:51,2017-03-03 16:59:06,2,3.20,1,N,229,151,1,16.5,1,0.5,1,0,0.3,19.3
2,2017-03-03 17:09:56,2017-03-03 17:21:52,1,1.00,1,N,237,229,1,9,1,0.5,2.16,0,0.3,12.96
2,2017-03-03 17:39:00,2017-03-03 17:46:44,1,1.04,1,N,163,48,1,7,1,0.5,1.76,0,0.3,10.56
1,2017-03-03 18:04:29,2017-03-03 18:11:22,1,.80,1,Y,74,42,2,6,1,0.5,0,0,0.3,7.8
1,2017-03-03 18:28:49,2017-03-03 18:35:47,1,1.30,1,N,263,237,1,6.5,1,0.5,1,0,0.3,9.3
1,2017-03-03 18:52:36,2017-03-03 18:52:38,1,41.50,2,N,265,265,3,52,4.5,0.5,0,0,0.3,57.3
2,2017-03-03 18:54:26,2017-03-03 18:59:10,3,.94,1,N,113,113,2,5.5,1,0.5,0,0,0.3,7.3
1,2017-03-03 19:17:06,2017-03-03 19:25:11,2,1.40,1,N,143,237,2,7.5,1,0.5,0,0,0.3,9.3
2,2017-03-03 19:39:05,2017-03-03 19:45:03,1,.99,1,N,162,170,1,6,1,0.5,1.56,0,0.3,9.36
2,2017-03-03 20:02:22,2017-03-03 20:04:02,1,.14,1,N,144,144,2,3,0.5,0.5,0,0,0.3,4.3
2,2017-03-03 20:26:47,2017-03-03 20:40:16,1,2.29,1,N,161,107,1,10.5,0.5,0.5,2.95,0,0.3,14.75
2,2017-03-03 20:52:27,2017-03-03 21:01:49,4,1.12,1,N,113,148,1,7.5,0.5,0.5,1.76,0,0.3,10.56
1,2017-03-03 21:18:24,2017-03-03 21:25:49,2,1.00,1,N,68,113,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2017-03-03 21:44:40,2017-03-03 21:54:54,2,1.05,1,N,79,234,2,8,0.5,0.5,0,0,0.3,9.3
1,2017-03-03 22:10:57,2017-03-03 22:18:05,1,2.10,1,N,162,236,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2017-03-03 22:36:52,2017-03-03 22:46:20,5,2.00,1,N,142,263,1,9,0.5,0.5,1.5,0,0.3,11.8
1,2017-03-03 23:02:07,2017-03-03 23:18:39,1,3.10,1,N,107,140,1,13.5,0.5,0.5,2.95,0,0.3,17.75
2,2017-03-03 23:27:06,2017-03-03 23:34:37,3,1.59,1,N,162,137,2,8,0.5,0.5,0,0,0.3,9.3
2,2017-03-03 23:54:19,2017-03-04 00:12:49,1,3.05,1,N,107,88,1,14,0.5,0.5,3.06,0,0.3,18.36
1,2017-03-04 00:22:40,2017-03-04 00:41:31,1,4.90,1,N,230,42,2,18,0.5,0.5,0,0,0.3,19.3
1,2017-03-04 00:55:13,2017-03-04 01:22:28,1,7.50,1,N,237,196,1,27,0.5,0.5,5,0,0.3,33.3
2,2017-03-04 01:30:26,2017-03-04 01:39:57,2,2.75,1,N,158,161,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2017-03-04 02:10:56,2017-03-04 02:22:29,1,3.10,1,N,125,50,1,12,0.5,0.5,0,0,0.3,13.3
1,2017-03-04 02:58:55,2017-03-04 03:03:31,1,.60,1,N,238,239,2,5,0.5,0.5,0,0,0.3,6.3
2,2017-03-11 14:23:49,2017-03-11 14:27:20,1,.45,1,N,236,75,1,4.5,0,0.5,1.06,0,0.3,6.36
2,2017-03-04 04:08:54,2017-03-04 04:28:43,1,9.95,1,N,234,138,2,29,0.5,0.5,0,5.54,0.3,35.84
1,2017-03-04 06:38:59,2017-03-04 06:39:06,1,10.50,1,N,25,25,2,2.5,0,0.5,0,0,0.3,3.3
2,2017-03-04 08:15:44,2017-03-04 08:26:37,1,2.89,1,N,186,236,1,11,0,0.5,3.54,0,0.3,15.34
2,2017-03-04 09:12:16,2017-03-04 09:19:23,1,.94,1,N,148,107,1,6.5,0,0.5,2.19,0,0.3,9.49
1,2017-03-04 09:53:37,2017-03-04 10:00:10,1,1.20,1,N,161,141,1,6.5,0,0.5,1.1,0,0.3,8.4
1,2017-03-04 10:30:23,2017-03-04 10:38:38,1,.70,1,N,230,48,2,7,0,0.5,0,0,0.3,7.8
2,2017-03-04 11:02:03,2017-03-04 11:12:03,2,1.91,1,N,234,48,2,9,0,0.5,0,0,0.3,9.8
2,2017-03-04 11:34:01,2017-03-04 11:35:42,1,.67,1,N,226,226,2,4,0,0.5,0,0,0.3,4.8
2,2017-03-04 12:02:02,2017-03-04 12:24:02,2,2.07,1,N,263,239,1,15,0,0.5,2,0,0.3,17.8
2,2017-03-04 12:30:18,2017-03-04 12:44:14,1,1.99,1,N,140,163,1,10.5,0,0.5,2.26,0,0.3,13.56
1,2017-03-04 12:57:49,2017-03-04 13:06:53,2,.70,1,N,79,114,2,7,0,0.5,0,0,0.3,7.8
2,2017-03-04 13:24:57,2017-03-04 13:58:49,1,7.84,1,N,4,151,2,28.5,0,0.5,0,0,0.3,29.3
2,2017-03-04 13:52:22,2017-03-04 13:55:27,1,.77,1,N,68,125,1,4.5,0,0.5,3,0,0.3,8.3
1,2017-03-04 14:20:54,2017-03-04 14:32:14,1,1.50,1,N,151,236,1,9,0,0.5,2,0,0.3,11.8
2,2017-03-11 14:57:17,2017-03-11 15:19:02,1,1.48,1,N,186,230,2,14,0,0.5,0,0,0.3,14.8
2,2017-03-04 14:51:16,2017-03-04 15:18:41,1,2.53,1,N,186,162,2,17.5,0,0.5,0,0,0.3,18.3
2,2017-03-04 15:18:49,2017-03-04 15:25:52,1,1.15,1,N,236,140,1,7,0,0.5,1.56,0,0.3,9.36
1,2017-03-04 15:46:54,2017-03-04 16:08:27,2,4.50,1,N,48,13,1,18.5,0,0.5,3.85,0,0.3,23.15
1,2017-03-04 16:14:29,2017-03-04 16:40:49,3,6.80,1,N,100,42,1,24.5,0,0.5,0,0,0.3,25.3
1,2017-03-04 16:44:09,2017-03-04 16:49:16,1,.60,1,N,263,236,2,5.5,0,0.5,0,0,0.3,6.3
2,2017-03-04 17:14:09,2017-03-04 17:35:28,1,2.01,1,N,107,230,1,14,0,0.5,2.2,0,0.3,17
2,2017-03-11 15:20:01,2017-03-11 15:30:05,1,1.67,1,N,75,75,1,8.5,0,0.5,1.86,0,0.3,11.16
1,2017-03-04 17:42:59,2017-03-04 18:12:19,2,4.70,1,N,264,264,2,21.5,0,0.5,0,0,0.3,22.3
2,2017-03-04 18:08:38,2017-03-04 18:08:40,5,.00,2,N,264,132,1,52,0,0.5,10.56,0,0.3,63.36
1,2017-03-04 18:33:01,2017-03-04 18:49:28,1,4.00,1,N,151,163,1,16.5,1,0.5,3.66,0,0.3,21.96
1,2017-03-04 18:55:42,2017-03-04 18:55:42,1,.00,1,N,68,264,2,9,0,0.5,0,0,0.3,9.8
2,2017-03-04 19:18:10,2017-03-04 19:57:58,1,6.93,1,N,170,97,1,27.5,0,0.5,5.66,0,0.3,33.96
1,2017-03-04 19:40:34,2017-03-04 19:55:12,2,2.10,1,N,161,234,1,11,0,0.5,2,0,0.3,13.8
2,2017-03-04 20:05:10,2017-03-04 20:13:08,1,1.01,1,N,144,113,1,6.5,0.5,0.5,1.08,0,0.3,8.88
1,2017-03-04 20:33:54,2017-03-04 20:50:52,1,7.00,1,N,151,220,2,22.5,0.5,0.5,0,2.54,0.3,26.34
1,2017-03-04 21:04:14,2017-03-04 21:21:20,3,1.50,1,N,264,264,1,12,0.5,0.5,2.66,0,0.3,15.96
2,2017-03-11 15:52:48,2017-03-11 16:04:39,2,1.44,1,N,263,43,2,9.5,0,0.5,0,0,0.3,10.3
2,2017-03-04 21:37:07,2017-03-04 21:44:18,1,.78,1,N,234,186,1,6,0.5,0.5,1.46,0,0.3,8.76
2,2017-03-04 21:40:05,2017-03-04 22:00:17,2,5.79,1,N,129,170,1,19.5,0.5,0.5,1,0,0.3,21.8
2,2017-03-04 22:08:40,2017-03-04 22:13:29,1,.39,1,N,234,90,1,5,0.5,0.5,0.63,0,0.3,6.93
1,2017-03-04 22:36:38,2017-03-04 22:46:45,1,1.10,1,N,211,79,1,8,0.5,0.5,1.85,0,0.3,11.15
2,2017-03-04 23:01:57,2017-03-04 23:22:28,1,4.48,1,N,48,7,1,17.5,0.5,0.5,4.2,0,0.3,23
2,2017-03-04 23:27:17,2017-03-04 23:33:04,3,.69,1,N,114,144,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2017-03-04 23:54:48,2017-03-05 00:06:42,1,4.90,1,N,45,162,1,16.5,0.5,0.5,3.56,0,0.3,21.36
2,2017-03-05 00:23:06,2017-03-05 00:25:57,1,.47,1,N,48,48,1,4,0.5,0.5,1.06,0,0.3,6.36
1,2017-03-05 00:54:16,2017-03-05 00:57:53,1,1.20,1,N,141,170,1,5.5,0.5,0.5,0,0,0.3,6.8
2,2017-03-05 01:26:57,2017-03-05 01:42:14,2,1.96,1,N,79,232,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2017-03-05 02:03:53,2017-03-05 02:11:12,1,1.77,1,N,148,170,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,2017-03-05 02:44:31,2017-03-05 02:46:48,2,.95,1,N,170,233,1,4.5,0.5,0.5,1.16,0,0.3,6.96
