ï»¿VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2017-01-17 09:08:51,2017-01-17 09:22:05,1,1.60,1,N,211,232,1,10,0,0.5,2.15,0,0.3,12.95
2,2017-01-17 09:40:29,2017-01-17 09:51:13,2,1.41,1,N,142,100,2,8.5,0,0.5,0,0,0.3,9.3
1,2017-01-17 10:13:58,2017-01-17 10:30:06,1,2.10,1,N,236,161,1,11.5,0,0.5,2.46,0,0.3,14.76
1,2017-01-17 10:51:19,2017-01-17 11:29:03,1,5.00,1,N,162,13,1,25.5,0,0.5,5,0,0.3,31.3
2,2017-01-17 11:27:34,2017-01-17 11:41:54,2,1.44,1,N,234,161,1,10,0,0.5,2.7,0,0.3,13.5
1,2017-01-17 12:03:24,2017-01-17 12:20:00,1,1.20,1,N,164,161,1,11,0,0.5,2.36,0,0.3,14.16
2,2017-01-17 12:37:58,2017-01-17 12:51:36,1,2.30,1,N,239,166,1,11.5,0,0.5,2.46,0,0.3,14.76
1,2017-01-17 13:12:40,2017-01-17 13:34:06,2,1.20,1,N,100,186,1,13.5,0,0.5,0,0,0.3,14.3
2,2017-01-17 13:49:04,2017-01-17 13:55:34,1,.65,1,N,87,88,2,6,0,0.5,0,0,0.3,6.8
2,2017-01-17 14:25:28,2017-01-17 14:29:58,1,.60,1,N,79,4,1,5,0,0.5,1.16,0,0.3,6.96
1,2017-01-17 14:58:49,2017-01-17 15:10:22,1,1.00,1,N,237,141,2,8.5,0,0.5,0,0,0.3,9.3
1,2017-01-17 15:32:46,2017-01-17 16:00:29,1,6.70,1,N,125,166,1,24,0,0.5,4.95,0,0.3,29.75
2,2017-01-17 16:10:30,2017-01-17 16:31:29,1,3.81,1,N,138,92,2,16.5,1,0.5,0,0,0.3,18.3
1,2017-01-17 16:51:37,2017-01-17 16:56:58,1,.80,1,N,234,68,1,5.5,1,0.5,0,0,0.3,7.3
2,2017-01-17 17:28:34,2017-01-17 17:44:54,1,2.25,1,N,48,140,1,12,1,0.5,4.14,0,0.3,17.94
2,2017-01-17 17:56:50,2017-01-17 18:27:38,1,5.66,1,N,158,236,1,22.5,1,0.5,4.86,0,0.3,29.16
1,2017-01-17 18:24:08,2017-01-17 18:50:01,1,4.00,1,N,114,97,1,17.5,1,0.5,2,0,0.3,21.3
1,2017-01-17 18:51:33,2017-01-17 19:15:43,1,2.80,1,N,142,186,1,16.5,1,0.5,5.45,0,0.3,23.75
